block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F3,F3,F3,Insight,I7,incorrect,85.5177658,ZWEMMEN,117.2537668,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
1,F,F9,F9,F9,Insight,I9,correct,51.1262312,ER BESTONDEN NOG GEEN MUNTEN,80.0570639,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
1,F,F6,F6,F6,RAT,R1,correct,35.6741288,UITGAAN,16.6141753,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
1,F,F5,F5,F5,RAT,R4,correct,23.516343,No Response,20.0038235,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
2,DFU,DFU3,DFU3,DFU3,RAT,R10,correct,49.3583994,BLAFFEN,11.9052585,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
2,DFU,DFU2,DFU2,DFU2,RAT,R7,incorrect,35.1686328,No Response,20.0112316,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
2,DFU,DFU12,DFU12,DFU12,Insight,I3,correct,53.1954064,HART,12.4878396,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
2,DFU,DFU5,DFU5,DFU5,RAT,R3,correct,33.8892654,No Response,20.0019255,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
3,DFU,DFU10,DFU10,DFU10,Insight,I12,correct,46.840668,No Response,120.0019198,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
3,DFU,DFU7,DFU7,DFU7,RAT,R6,incorrect,36.6882968,VERSTOPPEN,13.2208035,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,97c6a185-4777-437c-9d52-d3e0044243d0
