block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU3,DFU3,DFU3,Insight,I6,correct,36.9901462,hij leest op zijn gsm,23.2732951,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
1,DFU,DFU6,DFU6,DFU6,RAT,R12,correct,-6.6542853,No Response,20.0065679,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
1,DFU,DFU7,DFU7,DFU7,RAT,R9,correct,23.4384999,No Response,20.0150185,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
1,DFU,DFU1,DFU1,DFU1,Insight,I11,correct,25.5861048,"een lift, want gaat kapot zo",111.3563293,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
2,F,F12,F12,F12,Insight,I4,correct,29.4418108,de letter m,9.821515,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
2,F,F3,F3,F3,RAT,R2,correct,30.0900237,4 letter,15.9989427,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
2,F,F7,F7,F7,RAT,R3,incorrect,41.0747951,huisdieren,13.3866808,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
2,F,F10,F10,F10,Insight,I7,correct,37.3513091,bevriesd water,18.2057844,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
3,DFU,DFU9,DFU9,DFU9,RAT,R11,correct,34.875338,sport,9.1718551,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
3,DFU,DFU11,DFU11,DFU11,Insight,I1,correct,27.0828933,de ladder lag op de grond,20.7523505,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,416a9fdd-526d-4200-a65d-35846ebe27a1
