block_number,experimental_condition,condition_item,task_type,task_id,MCQ_response_unprocessed,reaction_time_MCQ,score_TEST,reaction_time_TEST,BI_score,BI_score_TaskType,BI_score_TaskID,BI_score_ParticipantID,BI_score_TaskType_ParticipantID,affinity_score,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence,participant_identification
1,F,F6,RAT,R8,No Response,90,0.086241667,14.2617635,-0.000178666,-0.11531967,-0.109738182,-0.036939457,0.024288814,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F12,Insight,I2,incorrect,75.1721347,0,32.0052315,-0.547758202,-0.423109154,-0.043347015,-0.541429904,-0.419925241,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F1,RAT,R11,incorrect,59.2437904,0.139537182,14.8335587,0.079968119,-0.069126761,0.823936805,0.039090992,0.04259506,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F11,RAT,R9,correct,83.7861546,1,6.5398023,1.766244363,3.298821745,2.422056942,1.624711206,3.08203737,5,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F10,RAT,R4,incorrect,59.1807587,1,7.4058212,1.746859083,3.16924807,2.272172443,1.60701578,2.946448544,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F5,Insight,I7,incorrect,56.4753948,1,58.1031139,0.612032535,0.701571941,0.458470168,0.571114368,0.693781957,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F7,Insight,I10,incorrect,57.4685765,0.25,109.8615532,-1.854528488,-1.588689787,-0.059468979,-1.720822657,-1.390319242,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F2,RAT,R7,incorrect,73.7100822,0.052121952,18.7016312,-0.159066208,-0.863955178,-0.761859402,-0.183813961,-0.739874483,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F8,Insight,I11,incorrect,62.1621535,0,27.8221806,-0.454123277,-0.338268616,-0.48183356,-0.455957326,-0.346691743,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F9,RAT,R5,correct,56.7282149,0.070718415,17.7841684,-0.106097618,-0.680714591,-0.753535787,-0.134461241,-0.558606157,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F4,Insight,I6,incorrect,48.4091961,1,24.8372978,1.356666602,1.376268432,0.837371141,1.250837171,1.276173168,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F3,Insight,I1,incorrect,51.7963611,1,66.9655793,0.413651902,0.521823629,-0.021965809,0.390026978,0.538625026,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
4,DFU,DFU5,RAT,R2,correct,38.9141774,0.076434665,17.8225371,-0.096987479,-0.672324921,-0.742846872,-0.125837404,-0.553048019,5,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
4,DFU,DFU7,RAT,R10,correct,40.3131009,0.11024587,19.797572,-0.082231473,-0.884249227,-0.076020501,-0.110546811,-0.793862412,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
4,DFU,DFU6,Insight,I5,correct,38.1902544,0.25,110.3234418,-1.864867569,-1.5980578,-1.205421798,-1.73026046,-1.398405617,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
4,DFU,DFU10,Insight,I9,correct,49.8561843,0.75,78.8808945,-0.289058621,-0.133341942,0.177114802,-0.264890554,-0.062630745,2,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
5,DFU,DFU8,RAT,R12,correct,71.2696963,0,20.0030556,-0.279097153,-1.187518034,-1.094302529,-0.296188585,-1.049088202,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
5,DFU,DFU1,Insight,I8,correct,28.0540411,0,120.0079903,-2.517643803,-2.207979014,-1.551260545,-2.339596576,-1.960606915,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
5,DFU,DFU4,RAT,R6,correct,38.1270973,0.071320418,20.005265,-0.15476557,-1.011546745,-0.934354602,-0.178854288,-0.905135628,5,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
5,DFU,DFU12,Insight,I12,correct,63.9267564,0,0.0181465,0.168252285,0.225652142,0.279827741,0.112164494,0.140078972,2,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
6,DFU,DFU2,Insight,I4,correct,29.5215655,1,15.3861044,1.568225535,1.567957312,1.156686631,1.443954082,1.441637077,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
6,DFU,DFU11,Insight,I3,correct,46.8977944,1,12.7217015,1.627866494,1.621996668,0.700409615,1.498396017,1.488283304,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
6,DFU,DFU9,RAT,R1,correct,40.5938252,0.069509057,17.051194,-0.091799544,-0.574036519,-0.481506706,-0.121474689,-0.446294356,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
6,DFU,DFU3,RAT,R3,correct,34.3517068,0,20.0054337,-0.279150385,-1.187873845,-1.152669207,-0.296237177,-1.049460531,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,DFU,DFU7,RAT,R6,correct,55.2060034,0.051381392,20.0048216,-0.189528811,-1.060769057,-0.980920106,-0.150508261,-1.083209046,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
1,DFU,DFU4,RAT,R7,correct,47.2253165,0.068410526,16.6854249,-0.085527847,-0.522025712,-0.432511864,-0.041807674,-0.540434834,4,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
1,DFU,DFU5,Insight,I9,correct,57.6637773,0.25,74.6387373,-1.06608823,-0.874301473,-1.017979062,-1.133467049,-0.69818787,5,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
1,DFU,DFU6,RAT,R10,correct,52.3567386,0.095078523,18.7207827,-0.084579708,-0.760633313,-0.152177084,-0.045992146,-0.813616981,2,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
2,DFU,DFU10,Insight,I1,incorrect,65.6604075,0.75,83.2344068,-0.386509216,-0.221639775,-1.022750522,-0.499060737,-0.035758614,5,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
2,DFU,DFU2,Insight,I4,correct,40.9631689,1,47.2361366,0.855282888,0.921975716,0.496188303,0.789735756,1.365689177,6,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
2,DFU,DFU12,RAT,R3,correct,42.7987702,1,20.0014119,1.464914822,1.284696851,0.560263127,1.446401632,0.441644732,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
2,DFU,DFU3,RAT,R12,correct,41.2986071,0.073089999,20.0057273,-0.151689813,-1.007241565,-0.846489916,-0.113987589,-1.048466364,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
3,F,F11,RAT,R9,correct,46.7711073,1,9.7564693,1.694241325,2.8175443,1.926482031,1.69342099,2.032400323,6,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
3,F,F3,Insight,I8,incorrect,40.0713378,1,94.9391832,-0.212519371,-0.04553634,0.965709754,-0.360448914,0.098733412,5,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
3,F,F9,RAT,R11,correct,31.1770086,0,20.0047677,-0.279135477,-1.187774198,-1.900697212,-0.236998233,-1.165764845,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
3,F,F1,Insight,I11,correct,37.6404964,0.25,33.8310276,-0.152633687,-0.046640476,-0.177068828,-0.149538234,0.385633117,4,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
4,DFU,DFU9,Insight,I12,correct,29.0540672,0,73.8046652,-1.483411853,-1.270884274,-1.831310139,-1.534186186,-1.121397336,5,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
4,DFU,DFU8,Insight,I7,correct,47.2245791,0,53.9368707,-1.038683951,-0.867926139,-1.173308006,-1.055146915,-0.593724188,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
4,DFU,DFU1,RAT,R8,correct,39.8705849,0.121491941,14.2890303,0.060686587,-0.032261744,0.032580946,0.105325577,-0.083045266,5,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
4,DFU,DFU11,Insight,I3,correct,53.8320451,1,13.1377198,1.61855419,1.613558994,0.687936376,1.611894488,2.271316569,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
5,F,F5,RAT,R4,correct,25.6360045,1,8.4901682,1.722586667,3.007008163,2.109758028,1.723953214,2.229021781,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
5,F,F8,Insight,I6,correct,36.5054033,0,50.7849514,-0.968130249,-0.803998986,-2.024319948,-0.979149898,-0.510011666,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
5,F,F10,Insight,I2,correct,36.2642422,0,35.00692,-0.614949084,-0.483989329,-0.108898492,-0.59872032,-0.090959441,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
5,F,F12,RAT,R1,incorrect,39.4471251,0.08132625,20.0124655,-0.137476826,-0.987889977,-0.824915264,-0.100285819,-1.036277883,6,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
6,F,F6,RAT,R2,correct,40.0487123,0.055609466,20.0056995,-0.182174806,-1.05044874,-1.177331469,-0.143412232,-1.076551316,6,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
6,F,F4,RAT,R5,correct,30.7064299,1,9.0358038,1.710372962,2.925370211,2.530126124,1.710797205,2.144299698,6,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
6,F,F2,Insight,I5,incorrect,45.522919,0.5,59.9735634,-0.301823874,-0.163363334,0.563955375,-0.359040227,0.136669498,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
6,F,F7,Insight,I10,correct,28.3999168,0.5,110.6027648,-1.435126241,-1.190223592,0.804876741,-1.579778429,-1.208002658,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,6b771475-7fa7-45d5-ad53-71f24dc484c8
1,DFU,DFU8,Insight,I10,correct,66.5086086,0.25,120.0142668,-2.081790503,-1.794606883,-0.298288474,-2.043141878,-1.826831989,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU11,RAT,R8,correct,47.6450134,0.047006235,20.0078662,-0.197227128,-1.072039842,-1.088128532,-0.098061064,-1.192111278,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU4,Insight,I11,correct,29.8003658,0,40.9149984,-0.747197649,-0.603816835,-0.783091375,-0.68070052,-0.406773723,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU7,Insight,I6,correct,40.8180208,0.75,20.8645242,1.009600808,1.0433447,0.462498666,1.265187646,1.452581719,7,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F4,Insight,I12,correct,31.723017,0,43.8420585,-0.812718021,-0.663183398,-0.974037089,-0.749321825,-0.476376803,7,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
