block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F5,F5,F5,RAT,R4,correct,41.2525681,z,20.0092303,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F2,F2,F2,RAT,R1,correct,32.1904384,woord,19.0657544,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F4,F4,F4,RAT,R9,correct,31.4286882,woord,19.33235,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
1,F,F10,F10,F10,RAT,R12,correct,27.7367288,wagen,14.903849,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F12,F12,F12,Insight,I1,correct,24.6406738,hij hangt aan een ondersteunend koord,25.5208042,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F1,F1,F1,RAT,R2,incorrect,30.6574461,nederland,12.0009274,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F7,F7,F7,Insight,I8,correct,20.1816047,Hem<Marit<Ruben<Hij,80.423592,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
2,F,F9,F9,F9,RAT,R3,correct,26.1404914,kleding,9.0735018,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F3,F3,F3,Insight,I3,correct,9.7893357,vriendschap,11.1073167,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F11,F11,F11,Insight,I11,correct,7.4265149,stress,26.607494,7,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F8,F8,F8,Insight,I5,correct,13.1233769,No Response,46.7209981,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
3,F,F6,F6,F6,Insight,I10,correct,9.326894,No Response,20.0152553,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU10,DFU10,DFU10,Insight,I4,correct,13.9615391,een begroeting,20.2529025,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU3,DFU3,DFU3,Insight,I9,correct,33.6692756,544 voor christus kan niet op de munt staan,29.0592233,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU4,DFU4,DFU4,Insight,I12,correct,29.2536472,vuur,17.1530857,5,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
4,DFU,DFU5,DFU5,DFU5,RAT,R8,correct,26.517889,stoom,10.4518701,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU6,DFU6,DFU6,RAT,R11,correct,29.4557821,huisartspraktijk,16.9353287,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU7,DFU7,DFU7,RAT,R6,correct,43.8856689,cabardouche,14.2017563,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU9,DFU9,DFU9,RAT,R7,correct,21.058222,houtworm,10.8225337,1,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
5,DFU,DFU12,DFU12,DFU12,RAT,R5,correct,28.5503652,goudvis,8.7025297,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU2,DFU2,DFU2,Insight,I6,correct,35.1633846,nachtkijker,14.8869303,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU1,DFU1,DFU1,RAT,R10,correct,27.9438726,leiband,13.2851606,2,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU11,DFU11,DFU11,Insight,I2,correct,29.6814588,een maquette,21.3552207,4,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
6,DFU,DFU8,DFU8,DFU8,Insight,I7,correct,37.5021726,het meer staat droog,29.970987,3,20,Man,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,1842859a-b4e7-40e5-98f7-9aeecf0c68f6
