block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU12,DFU12,DFU12,Insight,I8,incorrect,86.1235457,Hem>hij>ruben>Marit>coach,107.180487,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
1,DFU,DFU8,DFU8,DFU8,RAT,R10,incorrect,45.3686996,kar\,20.0052554,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
1,DFU,DFU2,DFU2,DFU2,RAT,R11,correct,25.4425791,security,13.7958576,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
1,DFU,DFU5,DFU5,DFU5,RAT,R9,correct,30.7101473,handen,13.0887556,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
2,DFU,DFU1,DFU1,DFU1,RAT,R8,correct,22.5027276,vuur,11.1683423,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
2,DFU,DFU3,DFU3,DFU3,RAT,R4,correct,24.8455482,buiten,14.2351379,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
2,DFU,DFU6,DFU6,DFU6,RAT,R2,correct,27.5900669,nederland,8.5026946,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
2,DFU,DFU7,DFU7,DFU7,Insight,I3,correct,21.3306467,Een hart.,23.1707768,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
3,F,F7,F7,F7,RAT,R7,correct,56.4935758,huis,9.2693377,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
3,F,F1,F1,F1,Insight,I10,correct,52.9835452,Eerst volledig 7 laten uitlopen en dan de helft van 11 doen,78.330743,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,57dc748d-dd0c-43c7-90a2-eb7045c99cff
