block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F5,F5,F5,RAT,R3,correct,42.5366631,No Response,20.0070778,4,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
1,F,F1,F1,F1,RAT,R4,correct,-22.6915421,No Response,20.0237751,1,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
1,F,F3,F3,F3,RAT,R10,incorrect,20.1984422,No Response,20.0144902,4,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
1,F,F2,F2,F2,Insight,I1,correct,16.7020284,ik denk omdat beton er minder voor zorgt dat je ernstig gewond wult raken,56.2832929,4,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
2,DFU,DFU5,DFU5,DFU5,RAT,R7,correct,36.7902333,boek,7.003796,1,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
2,DFU,DFU1,DFU1,DFU1,RAT,R5,incorrect,24.7744827,No Response,20.0120499,7,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
2,DFU,DFU6,DFU6,DFU6,Insight,I11,incorrect,21.0575171,No Response,120.415792,7,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
2,DFU,DFU3,DFU3,DFU3,RAT,R12,incorrect,30.3575266,gootkoolbak,12.7515628,2,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
3,DFU,DFU9,DFU9,DFU9,RAT,R8,incorrect,19.1591836,bl,20.0165349,5,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
3,DFU,DFU10,DFU10,DFU10,RAT,R2,incorrect,-13.7476777,belgie,14.3236055,2,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
3,DFU,DFU8,DFU8,DFU8,RAT,R1,incorrect,18.2430651,gala,9.7217106,3,18,Vrouw,ASO/doorstroomfinaliteit,8-9 uren,Gemiddeld,623e30db-0e2f-473b-ba5e-a81112e451d4
